id,name,producerName,id,name,subscribersCount,data
3,Comuni,Comune di Rivoli Veronese,3,Comuni,2,"{""producerName"":""Comune di Rivoli Veronese"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di Gattinara,3,Comuni,2,"{""producerName"":""Comune di Gattinara"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di Gallarate,3,Comuni,2,"{""producerName"":""Comune di Gallarate"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di San Benedetto in Perillis,3,Comuni,1,"{""producerName"":""Comune di San Benedetto in Perillis"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Porto Ceresio,3,Comuni,1,"{""producerName"":""Comune di Porto Ceresio"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Chiavari,3,Comuni,1,"{""producerName"":""Comune di Chiavari"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
4,Province e Città Metropolitane,null,null,null,null,
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,1,Altre Pubbliche Amministrazioni locali,7,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":7}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,2,Aziende Ospedaliere e ASL,1,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""2"",""name"":""Aziende Ospedaliere e ASL"",""subscribersCount"":1}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,3,Comuni,172,"{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":172}}"
